HDI,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SL_UEM_TOTL_FE_ZS,SL_TLF_ACTI_ZS,SP_DYN_LE00_MA_IN,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_CACT_FE_ZS,SP_DYN_LE00_FE_IN,SL_EMP_VULN_FE_ZS,SL_TLF_CACT_MA_ZS
0.601,24.91,24.131,20.629,46.237,66.238,65.11,11.101,69.307,40.720161682254,76.194
0.602,26.663,22.844,23.182,46.606,66.263,65.441,11.241,69.202,40.7889360916955,76.77
0.603,28.052,22.005,25.56,46.921,65.621,65.609,11.401,69.169,40.7250882616992,77.222
0.607,32.034,19.071,30.506,47.004,65.489,65.233,11.58,69.518,40.6073146576118,77.195
0.618,28.334,16.71,28.222,47.154,67.134,64.74,11.763,70.4,40.4042718794154,77.084
0.626,25.319,13.331,26.169,47.046,67.49,63.301,11.895,70.925,40.1336335337041,76.345
0.635,26.783,11.238,27.332,46.878,67.744,61.869,12.035,71.262,39.8610767707353,75.641
0.644,28.516,10.14,28.705,46.622,68.703,60.465,12.184,71.414,39.0529712939567,74.97
0.652,29.778,9.302,29.718,46.367,69.068,59.072,12.335,71.949,37.9619928236586,74.294
0.659,27.225,8.797,27.758,46.11,69.498,57.688,12.489,72.197,37.4532265740742,73.617
0.668,25.716,8.632,26.996,45.864,69.943,56.317,12.646,72.559,34.7610372495057,72.935
0.675,23.426,8.838,25.436,45.621,70.344,54.961,12.805,72.25,32.1368960264755,72.245
0.683,17.553,8.96,18.204,45.365,70.735,53.614,12.966,72.812,30.6014379814707,71.55
0.69,14.926,9.214,17.191,45.116,71.069,52.283,13.131,73.075,29.0800617865955,70.852
0.696,11.744,9.376,15.147,44.849,71.313,50.961,13.299,73.379,27.9162605198025,70.153
0.701,12.823,9.455,18.959,44.582,71.499,49.662,13.471,73.735,27.0039462985493,69.454
0.709,10.136,9.095,17.565,44.309,71.841,48.375,13.647,74.071,26.1807749030355,68.754
0.716,8.594,9.635,18.152,44.029,72.413,47.102,13.825,74.864,25.6492737704211,68.047
0.721,8.136,10.288,19.161,44.294,72.769,46.289,14.058,74.873,24.8339006309878,68.366
0.725,8.432,11.134,17.2,44.507,73.04,44.951,14.861,75.236,24.1276499277321,67.871
0.726,9.602,11.95,17.064,44.73,72.971,43.631,15.695,75.478,24.2955663762771,67.349
0.729,8.319,12.684,16.338,46.094,73.43,42.65,16.472,75.84,24.4031087521664,68.962
0.732,9.021,12.771,15.687,43.574,73.803,42.345,14.798,76.467,23.9108384824686,65.756
0.736,9.941,11.888,16.605,44.71,74.456,40.071,16.179,76.824,24.0317833766854,66.336
0.738,8.206,12.731,18.309,45.0,74.693,39.264,16.826,76.803,24.0488876559293,66.037
0.738,9.858,12.872,20.785,45.066,74.7,39.169,16.693,76.821,23.8760546243377,66.076
0.74,10.0,12.654,21.02,45.14,74.966,39.105,16.56,77.205,23.690086846041,66.12
0.742,10.126,12.303,21.23,45.256,75.238,39.093,16.456,77.76,23.8413959056158,66.204
0.73,11.773,12.057,23.536,42.824,73.082,36.09,15.439,75.912,24.2832212845086,62.592
0.74,11.446,11.714,23.017,43.413,74.879,36.603,16.003,77.959,24.1753296334169,62.918
0.369,14.434,178.605,18.391,77.735,42.455,56.154,75.566,48.478,85.1373988494325,79.243
0.38,14.551,177.316,18.533,77.696,43.562,55.831,75.598,48.561,84.9886003328245,79.126
0.39,14.582,176.253,18.57,77.696,43.714,55.805,75.602,49.606,84.975257928662,79.114
0.406,14.328,175.341,18.263,77.715,44.94,55.732,75.614,49.896,85.2651952621959,79.069
0.424,14.348,171.817,18.287,77.693,47.568,55.552,75.63,51.674,85.1082345402115,79.003
0.437,14.21,170.795,18.121,77.696,48.532,55.398,75.648,52.657,84.786200128466,78.933
0.451,14.198,170.951,18.106,77.715,49.508,55.286,75.663,53.634,84.1888893806532,78.872
0.463,14.015,169.366,17.885,77.76,50.227,55.459,75.648,54.518,83.842194952284,78.921
0.48,13.958,168.678,17.816,77.808,51.473,55.6,75.638,55.815,83.1498927043647,78.955
0.492,14.058,168.701,17.936,77.844,52.527,55.7,75.63,56.734,82.660086947554,78.979
0.506,14.316,169.586,18.25,77.84,53.537,55.717,75.625,57.967,82.8575435310102,78.993
0.516,14.546,164.955,18.527,77.844,54.415,55.712,75.625,59.039,81.9222614911341,78.993
0.533,14.764,159.295,18.792,77.83,55.314,57.96,74.87,59.869,81.2489505245372,79.905
0.545,14.748,156.557,18.255,77.597,56.22,57.546,74.638,61.024,77.9100862113821,79.575
0.555,14.917,153.345,17.94,77.361,56.925,57.135,74.405,61.684,74.4214356566696,79.241
0.565,15.053,151.093,17.59,77.122,57.606,56.727,74.171,62.472,70.681885776156,78.904
0.591,15.416,148.074,17.486,76.881,58.213,56.321,73.936,63.094,70.7707242165296,78.563
0.595,15.785,146.135,17.375,76.64,58.741,55.916,73.7,63.434,70.698585615128,78.218
0.597,16.092,145.235,17.189,76.397,59.331,55.513,73.462,64.019,70.5821663080946,77.87
0.598,16.328,142.575,16.926,76.153,59.582,55.113,73.224,64.717,70.4609450504455,77.518
0.597,16.45,141.278,16.55,75.908,59.977,54.716,72.985,64.922,70.7318289340891,77.163
0.594,16.796,139.825,16.601,76.009,59.584,54.839,73.047,64.982,70.7717417398435,77.236
0.59,15.82,138.402,15.78,77.327,59.029,55.552,74.694,64.307,70.6376404964056,78.133
0.731,5.236,71.979,5.747,66.457,68.957,55.313,46.494,75.635,22.9326929890653,74.4
0.736,6.122,72.151,6.71,67.34,69.095,54.947,47.634,75.719,23.0020635100473,74.658
0.74,8.401,72.502,12.552,68.248,69.16,54.512,48.844,75.94,23.1198169180509,74.907
0.746,10.24,73.516,13.924,68.875,70.18,54.306,49.664,76.049,22.9462998056733,75.053
0.747,16.434,72.81,22.211,68.425,69.95,55.18,48.938,76.243,22.7612250810438,74.849
0.752,15.641,71.39,19.2,69.004,70.123,54.895,49.718,76.418,23.248609515178,74.989
0.758,12.795,70.424,17.641,69.875,69.705,54.181,50.951,76.464,22.5146069195989,75.22
0.764,11.647,69.307,14.035,70.238,70.149,53.922,51.462,76.758,22.0812712997538,75.288
0.774,13.259,68.268,15.156,69.703,70.407,54.554,50.666,76.989,21.6358348442072,75.07
0.78,14.033,66.54,16.36,69.497,70.583,54.731,50.359,77.223,20.625211472616,74.949
0.785,17.411,64.0,17.191,68.823,70.749,55.412,49.389,77.59,21.400290659268,74.666
0.785,20.113,63.078,18.814,67.255,70.752,56.964,47.156,78.075,19.910741298251,74.071
0.793,13.819,60.281,17.593,68.213,70.83,55.68,48.535,77.276,19.0107469578335,74.339
0.798,11.892,62.62,15.822,69.193,71.53,54.401,49.954,78.103,18.6291981395305,74.599
0.802,10.059,64.877,13.6,68.53,71.692,53.233,49.094,78.527,18.2743929811425,74.614
0.814,8.423,64.07,12.434,68.908,72.066,52.272,49.735,78.716,17.4032018391484,74.523
0.817,7.061,66.424,10.493,68.372,71.487,50.962,48.899,78.515,16.5077949933673,73.993
0.825,6.52,66.149,9.755,67.822,72.276,49.654,48.063,78.927,16.329249087209,73.454
0.827,7.794,66.695,9.874,68.175,72.694,50.169,48.788,79.07,16.8763087919034,73.396
0.834,6.682,67.064,9.214,67.626,72.516,49.122,47.693,78.838,16.4321006171766,73.322
0.842,6.265,68.264,8.524,68.216,72.841,49.33,47.949,79.322,16.0498644101276,73.982
0.844,6.1,68.719,8.848,68.137,72.939,49.011,48.056,79.953,16.0667071626242,73.266
0.846,6.135,69.167,8.508,67.737,73.011,48.646,47.65,79.927,16.6483586250487,72.866
0.847,6.495,67.791,8.393,67.001,73.424,46.159,47.429,80.004,17.2021046133069,72.023
0.85,6.8,65.395,8.709,66.813,73.294,46.251,47.512,80.188,17.9529226141969,71.497
0.848,7.285,61.852,9.225,66.619,72.933,46.34,47.598,79.67,18.5133700731971,70.97
0.853,7.543,57.783,9.491,66.423,73.526,46.428,47.685,80.085,19.2283545172264,70.44
0.852,8.241,51.029,10.563,67.385,73.631,45.897,49.165,80.329,19.9284997156224,70.501
0.853,9.199,46.153,10.712,68.081,73.857,45.504,50.02,80.681,20.9843071316676,71.012
0.841,10.776,39.866,12.39,63.66,72.546,38.104,46.506,79.285,22.6880173604272,65.949
0.844,7.912,39.065,9.858,68.699,72.182,42.14,50.283,78.647,22.6752009061041,70.873
0.646,1.143,78.736,2.111,70.042,65.008,46.99,58.428,72.122,67.1675424080801,72.503
0.611,1.285,86.553,2.373,70.114,64.747,46.99,58.15,72.404,67.2008536970047,72.184
0.613,3.462,85.981,7.319,70.13,64.885,46.99,57.687,72.69,67.3983465744188,71.71
0.617,4.882,82.148,8.469,70.128,65.08,46.99,57.243,72.948,67.2345777132217,71.278
0.623,3.652,69.251,9.995,70.113,65.445,46.99,56.879,73.023,67.2612393071135,70.907
0.627,4.479,62.587,14.487,70.075,65.82,46.99,56.615,73.589,67.1366275935623,70.575
0.635,5.281,54.18,16.706,70.051,66.322,46.99,56.406,73.293,67.1032989106114,70.282
0.647,5.642,48.124,13.4,70.03,66.785,46.99,56.237,74.033,67.2519537453162,70.049
0.651,7.604,41.327,15.007,69.95,66.554,46.99,56.077,73.767,67.3287924034493,69.802
0.656,7.883,36.644,14.329,69.826,66.89,46.99,55.876,74.152,67.3617819288908,69.498
0.661,8.163,32.841,13.66,69.695,67.073,46.99,55.595,74.587,67.7646229645978,69.136
0.67,8.426,32.756,12.971,69.522,67.124,46.99,55.243,74.707,67.8382316941938,68.708
0.681,8.693,31.669,12.299,69.335,67.306,46.99,54.885,75.375,67.8420944578596,68.281
0.689,8.981,31.569,11.661,69.168,67.494,46.99,54.585,75.116,68.0131728696999,67.929
0.701,9.27,29.062,11.028,69.003,67.596,46.99,54.348,75.781,67.8184730924836,67.656
0.714,9.565,24.607,10.403,68.845,67.743,46.99,54.199,76.011,67.817662774605,67.494
0.73,9.85,24.544,9.77,68.706,68.08,46.99,54.2,76.322,67.7405846015891,67.488
0.733,10.32,25.22,9.93,68.412,67.995,46.299,54.207,76.572,67.587444948971,67.412
0.732,10.864,28.266,10.158,69.04,68.242,47.704,54.941,77.149,67.8950266835814,68.429
0.739,11.362,29.07,10.34,69.111,68.597,47.466,55.179,77.437,67.7049504131852,68.745
0.743,11.829,28.694,10.495,69.154,68.613,47.025,55.298,77.713,67.7511278160913,68.881
0.751,12.208,29.083,10.573,69.192,69.037,46.367,55.338,77.483,67.5997743943765,68.881
0.757,12.663,25.412,10.718,69.395,69.062,46.085,55.447,77.913,67.4465319990935,69.032
0.764,13.13,27.222,10.873,69.636,69.236,45.774,55.548,78.498,67.3046266804102,69.179
0.769,13.612,24.66,11.039,69.964,69.595,45.493,55.651,78.833,67.0401970051242,69.351
0.773,14.091,24.621,11.203,70.371,69.673,45.51,55.719,79.203,66.8220544326158,69.582
0.775,14.543,21.379,11.345,70.725,69.92,44.77,55.772,79.381,66.531726841968,69.577
0.781,15.003,19.533,11.493,71.053,69.992,44.24,55.765,79.601,66.3002190455691,69.543
0.789,14.112,19.041,10.431,72.818,70.403,43.96,57.625,79.856,63.9044213560528,69.785
0.769,15.022,18.571,9.633,72.361,67.051,40.21,57.689,76.996,63.5503425387311,67.949
0.774,13.035,18.511,7.301,73.386,66.554,35.36,58.156,77.35,66.8496552817413,68.754
0.866,9.89,21.491,9.17,72.915,74.3,72.492,51.957,80.4,11.687206129714,74.602
0.868,11.302,21.593,9.933,72.761,74.5,72.15,51.921,80.4,11.6440722353165,74.085
0.873,11.508,20.629,10.009,72.521,75.0,71.588,51.688,80.9,11.8333129201751,73.504
0.873,9.978,20.312,9.368,73.138,75.0,72.884,52.589,80.9,11.5366069753135,73.581
0.882,8.739,19.797,8.109,73.909,75.0,73.609,53.588,80.8,11.1881846287935,73.779
0.884,8.712,19.469,8.242,73.977,75.2,73.718,53.78,81.1,10.9377403736756,73.553
0.887,8.59,18.99,8.08,73.531,75.7,72.472,53.571,81.4,11.2186500333584,72.971
0.891,7.943,18.257,7.334,73.454,75.9,72.021,53.628,81.5,10.3707183528669,72.68
0.894,7.045,17.959,6.665,73.254,76.2,71.774,53.619,81.8,10.2682739875067,72.212
0.896,6.461,17.357,6.071,73.71,76.6,71.826,54.504,82.0,10.095241641775,72.079
0.9,6.984,17.238,6.454,73.956,77.0,72.19,55.049,82.4,6.54749348942063,71.843
0.902,6.544,16.826,6.174,74.057,77.4,71.635,55.255,82.6,8.73747196750997,71.77
0.906,5.89,15.998,5.98,74.41,77.8,71.347,55.926,82.8,8.14945750103425,71.522
0.908,5.284,15.913,5.544,74.296,78.1,71.13,55.691,83.0,9.16889734348981,71.496
0.911,4.887,15.998,5.228,75.335,78.5,71.96,56.977,83.3,7.68932559641267,72.073
0.914,4.673,15.815,4.933,75.77,78.7,72.013,57.539,83.5,7.25799194680362,72.236
0.916,4.041,16.67,4.791,76.155,79.0,71.738,58.09,83.7,5.99893545743021,72.507
0.92,3.959,17.776,4.579,76.474,79.2,71.934,58.545,83.7,6.13730307228068,72.611
0.922,5.697,17.408,5.417,76.377,79.3,70.365,58.76,83.9,7.17737040085878,72.298
0.924,5.074,16.622,5.374,76.411,79.5,69.577,58.626,84.0,6.70809423201437,72.353
0.927,4.894,15.981,5.303,76.616,79.7,68.751,58.875,84.2,7.23598688081055,72.162
0.931,5.143,15.709,5.333,76.394,79.9,68.197,58.779,84.3,6.91513415301273,71.717
0.929,5.706,15.059,5.606,76.379,80.1,67.331,58.696,84.3,7.16960699407775,71.383
0.931,6.002,13.249,6.172,76.28,80.3,66.841,58.664,84.4,6.63404678492787,70.942
0.933,6.046,12.322,6.076,76.909,80.4,67.768,59.108,84.5,6.47798714394212,71.086
0.936,5.65,10.968,5.78,76.908,80.4,67.17,59.343,84.6,7.3452732539293,70.591
0.937,5.525,10.43,5.665,77.422,80.5,67.382,59.848,84.6,7.05830713159163,70.685
0.941,5.281,9.983,5.321,77.991,80.7,68.114,60.505,84.9,6.76644576956362,70.943
0.941,5.207,8.938,5.107,78.435,80.9,68.236,60.957,85.0,6.72080431058927,71.105
0.948,6.554,8.081,6.354,77.697,81.2,65.941,60.192,85.3,6.67477046389839,70.019
0.949,5.214,8.096,5.014,78.818,81.3,68.152,61.216,85.4,7.11405605158515,70.624
0.826,3.334,24.035,3.544,67.959,72.3,66.506,43.538,79.1,10.6251139055951,69.563
0.832,3.461,24.239,3.771,68.839,72.5,66.858,44.845,79.3,10.548520903459,69.634
0.836,4.07,22.968,4.499,68.986,72.8,65.014,45.301,79.5,9.72289929963113,69.292
0.841,3.215,19.933,3.967,71.342,73.2,65.03,48.636,79.8,9.16488415723141,70.56
0.847,3.923,17.743,4.904,71.937,73.4,64.338,49.391,80.1,9.53493145572612,70.485
0.852,5.336,15.97,5.207,71.406,73.7,62.634,48.832,80.2,9.91022206038828,69.827
0.856,5.058,14.465,5.268,71.087,74.1,61.168,48.728,80.7,9.42546481109812,69.111
0.861,5.467,13.868,5.587,71.602,74.5,61.423,49.343,81.0,9.17492957764022,69.284
0.865,4.652,13.395,4.762,71.829,74.9,62.36,49.514,81.0,9.34569122483811,69.372
0.87,4.76,14.06,4.6,71.427,75.2,60.43,49.406,81.2,9.33387378596853,68.881
0.874,3.913,13.989,4.133,70.849,75.6,58.96,49.36,81.7,9.32062722521021,67.917
0.878,5.109,14.086,4.529,71.719,75.8,60.177,50.605,81.7,9.46985702179491,68.036
0.88,5.133,13.662,4.342,71.992,75.9,59.407,50.783,81.5,9.12301353737493,68.217
0.886,5.789,13.758,6.189,70.951,76.4,58.0,50.639,82.1,9.28300586820974,66.044
0.889,5.502,13.004,5.892,71.731,76.6,59.212,51.458,82.2,9.99065884512918,66.014
0.893,5.04,12.213,5.65,72.682,77.1,58.975,52.145,82.8,10.1710783656915,66.319
0.896,4.552,11.46,5.332,73.776,77.4,60.155,52.99,83.1,10.8870210754785,67.186
0.899,3.983,11.382,4.453,74.216,77.7,60.465,53.507,83.3,10.4667814135719,67.142
0.898,5.579,10.712,5.129,74.642,77.6,60.133,54.189,83.2,10.326749721892,66.963
0.903,5.057,10.434,4.677,74.676,77.8,59.85,54.285,83.5,10.311866400945,66.729
0.907,4.635,9.606,4.645,74.857,78.3,60.581,54.617,83.8,9.63138509779198,66.51
0.909,4.98,9.054,4.83,75.421,78.4,60.383,55.114,83.6,9.55423959301873,66.567
0.907,5.403,8.462,5.333,75.81,78.6,59.685,55.379,83.8,9.429444504408,66.58
0.911,5.887,7.947,5.427,75.689,79.1,58.21,55.422,84.0,9.30357553678558,66.104
0.91,6.181,7.913,5.371,75.793,78.8,58.321,55.466,83.7,9.02831224640733,66.087
0.913,6.478,7.637,5.588,76.561,79.3,58.155,56.016,84.1,8.61820091677742,66.507
0.914,5.968,6.991,5.099,76.709,79.4,55.7,56.016,84.0,8.26269326011743,66.437
0.917,5.108,5.855,4.728,77.132,79.4,57.24,56.059,84.1,7.90739002178342,66.839
0.92,4.682,5.499,4.422,77.392,79.7,57.892,56.15,84.2,7.81541689520794,66.721
0.916,5.36,5.363,5.02,77.032,78.9,57.555,55.902,83.6,7.76616357775287,65.953
0.92,6.512,5.521,6.402,77.776,78.8,58.859,56.099,83.8,7.75078335910819,66.44
0.6,6.646,44.668,7.764,83.786,58.009,65.123,73.58,66.511,61.7986771827631,85.073
0.603,7.475,44.595,8.734,83.889,58.594,65.112,73.785,66.564,62.2780042963404,84.985
0.609,8.396,45.272,9.812,83.639,58.849,64.925,73.627,67.08,62.7347159285809,84.534
