HDI,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SL_UEM_TOTL_FE_ZS,SL_TLF_ACTI_ZS,SP_DYN_LE00_MA_IN,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_CACT_FE_ZS,SP_DYN_LE00_FE_IN,SL_EMP_VULN_FE_ZS,SL_TLF_CACT_MA_ZS
0.522,2.721,60.781,4.066,68.87,58.705,46.032,63.411,61.776,77.1433570512073,73.554
0.522,2.781,56.853,4.153,69.116,59.42,46.506,63.766,62.507,77.2628717721799,73.7
0.536,2.846,54.704,4.246,69.226,60.129,46.724,63.931,63.319,77.5131164742917,73.767
0.553,2.808,53.298,4.191,69.191,60.839,46.665,63.885,64.0,77.4823089456312,73.749
0.579,2.815,51.38,4.202,69.535,61.588,47.27,64.348,64.728,77.4188870132205,73.912
0.601,2.778,49.489,4.148,69.115,62.208,46.507,63.769,65.402,77.3307180624254,73.699
0.627,2.747,48.43,4.104,68.642,62.783,45.631,63.136,66.035,77.1668256332168,73.447
0.625,2.693,49.302,4.026,68.238,63.314,44.862,62.614,66.549,76.9749276233135,73.221
0.639,2.698,45.458,4.033,67.864,63.769,44.14,62.148,66.989,76.9098643550847,73.006
0.649,2.815,44.984,4.405,67.667,64.167,43.759,61.915,67.374,77.5257580680663,72.894
0.644,2.931,43.65,4.784,67.459,64.522,43.366,61.676,67.79,78.3370521402374,72.775
0.64,3.05,41.612,5.174,67.44,64.84,43.342,61.664,68.192,78.7112956495235,72.774
0.63,3.148,39.963,5.535,67.304,65.171,43.103,61.523,68.557,79.5114777408767,72.703
0.621,3.249,38.367,5.904,67.243,65.539,43.015,61.468,68.886,80.0698236334925,72.676
0.61,3.339,37.239,6.258,67.164,65.869,42.89,61.387,69.167,80.6039911556439,72.63
0.614,3.031,36.54,5.591,67.469,66.188,43.499,61.746,69.441,80.6196952745539,72.824
0.616,2.701,35.654,4.883,67.621,66.468,43.805,61.927,69.702,80.5498663519284,72.916
0.627,2.29,35.208,4.039,66.856,66.721,42.333,61.043,69.95,79.7498105270329,72.426
0.633,2.163,34.557,3.556,66.225,66.837,41.939,60.461,70.279,79.7812703338505,71.735
0.574,1.854,33.877,2.927,65.792,66.1,41.279,60.4,69.544,79.4725224970287,71.071
0.647,3.428,87.847,5.881,64.703,66.55,57.811,47.548,72.822,52.8282650516133,79.389
0.652,3.389,84.272,5.828,64.709,67.012,57.694,47.58,73.334,53.8123596986706,79.324
0.656,3.453,85.188,5.915,64.704,67.258,57.58,47.597,73.533,53.102595053615,79.254
0.662,3.453,87.052,5.913,64.93,67.657,57.192,47.985,73.954,51.5741090191573,79.263
0.667,3.449,88.927,5.907,64.959,67.95,57.044,48.058,74.228,52.5768854301355,79.206
0.67,3.46,90.547,5.922,64.938,68.277,57.031,48.046,74.541,52.1507087351526,79.14
0.676,3.462,89.727,5.925,65.872,68.599,57.722,48.5,74.857,49.4395308896693,80.237
0.681,3.403,91.693,5.838,68.133,68.972,62.345,51.662,75.209,52.6328198062027,81.326
0.681,3.683,91.5,6.225,66.852,69.397,63.26,48.766,75.618,53.1040061885099,81.348
0.684,3.851,88.773,6.458,65.535,69.799,64.156,45.841,75.964,53.5735374273256,81.341
0.691,3.657,88.083,5.263,66.18,70.231,64.259,46.94,76.329,53.2849608031687,81.5
0.697,4.386,88.435,5.556,66.819,70.642,64.36,48.038,76.663,50.5762429044527,81.65
0.701,5.357,88.523,6.156,67.452,71.031,64.458,49.134,76.997,48.2439084583728,81.79
0.708,4.538,87.349,5.711,69.617,71.35,64.763,52.701,77.285,52.8635316571306,82.48
0.714,3.185,86.874,4.708,69.109,71.574,64.508,51.888,77.534,48.769556372686,82.319
0.719,3.025,87.164,4.368,70.141,71.714,67.31,52.671,77.747,51.0438567656918,83.48
0.722,2.64,89.208,3.915,69.012,71.832,61.923,51.926,77.947,50.5353484357307,81.86
0.728,3.215,90.694,5.004,68.872,71.945,61.961,51.998,78.116,49.8646405858311,81.345
0.73,3.789,92.019,5.889,66.4,72.154,58.086,49.638,78.308,50.4423441758367,78.626
0.736,3.536,91.858,4.972,65.197,72.458,55.434,47.987,78.488,48.544664415769,77.625
0.743,2.943,91.278,4.289,64.218,72.879,52.909,47.043,78.675,51.2430501541209,76.771
0.75,2.857,90.001,3.819,64.99,73.332,54.255,48.057,78.842,50.902077241085,77.09
0.755,2.709,84.146,3.662,64.886,73.777,51.256,48.106,78.997,50.8233806613856,76.655
0.759,3.068,80.124,4.141,65.29,74.146,51.511,47.668,79.124,48.9792367116729,77.822
0.764,3.024,79.692,4.521,68.32,74.391,52.734,51.889,79.209,51.7549185264293,79.655
0.761,3.724,75.1,5.848,70.359,74.41,54.064,55.391,79.137,55.3492346533201,80.144
0.762,3.068,72.683,4.928,70.977,74.577,54.721,56.156,79.395,56.1182371628228,80.33
0.761,2.928,71.383,4.391,69.538,74.623,53.634,54.465,79.604,56.9924930466864,79.041
0.758,3.258,67.77,4.591,69.146,74.699,53.071,54.39,79.953,58.3672460350664,78.148
0.734,5.293,63.944,7.359,63.512,68.765,48.592,48.295,76.056,61.7208940225872,72.078
0.746,3.687,63.163,5.781,69.104,70.26,56.443,53.717,77.462,61.8342573412034,78.066
0.574,5.722,78.637,21.007,49.085,62.912,38.592,22.236,66.504,47.7397832944942,71.482
0.58,6.288,77.542,17.013,49.633,63.228,41.502,23.051,66.743,46.3113387271549,71.559
0.587,7.43,72.693,22.319,50.379,63.714,43.682,22.368,67.137,46.2153090637076,73.605
0.594,7.236,69.087,22.767,51.313,63.876,44.364,23.189,67.687,46.2562552049666,74.713
0.601,7.307,67.189,23.673,50.191,64.263,45.861,21.82,68.304,41.3989655253466,74.118
0.61,6.262,64.587,18.513,49.485,64.68,44.582,21.113,68.751,40.4626363519948,73.497
0.615,5.179,63.389,19.757,48.781,65.104,43.31,20.42,69.242,39.8832748371312,72.858
0.62,4.878,60.782,19.581,48.075,65.528,42.051,19.742,69.364,33.5866401659589,72.204
0.625,4.89,60.291,19.065,49.75,65.81,46.24,20.559,69.62,29.6941041523032,74.374
0.629,5.072,58.95,22.786,48.507,65.897,42.15,20.449,70.095,38.3277608987494,71.855
0.633,5.601,56.768,21.792,47.248,66.168,38.269,20.375,70.431,28.6363374137101,69.322
0.634,6.279,54.671,24.038,45.581,66.383,38.8,18.221,70.735,26.4534172379411,67.955
0.632,7.523,54.79,23.379,46.535,66.159,40.577,18.948,70.659,39.3515996259662,69.062
0.635,5.856,54.639,26.399,47.484,66.336,42.391,19.698,70.914,46.9379343319017,70.164
0.637,7.208,55.676,24.586,48.434,66.38,44.245,20.471,71.226,45.6518289804978,71.26
0.642,6.634,56.623,23.774,49.387,66.525,46.144,21.269,71.49,43.4297859672646,72.351
0.649,5.776,57.158,18.282,50.315,66.623,46.916,23.328,71.706,48.5636058635935,72.219
0.656,5.49,56.959,18.743,50.011,66.785,50.449,21.884,71.93,45.0474758698117,72.886
0.661,5.002,57.263,22.212,50.314,66.951,49.393,22.902,72.087,45.7762768595091,72.579
0.667,4.741,58.306,21.977,51.785,67.096,49.468,23.17,72.318,44.6890723449379,75.237
0.671,8.732,58.103,22.344,51.268,67.253,48.501,22.503,72.605,43.8185459485415,74.721
0.679,9.208,58.469,23.952,50.955,67.513,48.764,22.473,72.745,40.8299927510283,74.135
0.684,9.774,59.123,24.107,50.998,67.398,49.08,22.982,72.82,45.7805279546221,73.538
0.688,9.704,58.101,23.935,50.742,67.773,47.426,23.131,73.163,46.53463033691,72.762
0.695,9.352,56.931,24.711,49.516,67.967,42.28,22.779,73.081,46.0575526572492,70.848
0.702,8.845,52.246,23.547,49.001,68.233,41.343,23.024,73.552,31.4297926273402,69.916
0.709,8.176,50.624,22.863,47.296,68.712,37.943,22.145,73.974,31.0962483982395,67.456
0.717,6.78,49.099,21.378,45.669,68.875,36.299,18.383,73.927,32.0373961961754,67.91
0.724,4.757,46.431,21.343,44.569,69.049,35.657,15.831,73.711,29.9495165058079,68.264
0.729,5.928,45.672,17.646,44.029,68.667,37.219,14.585,73.39,27.8535888685772,68.356
0.726,5.575,44.767,15.932,45.556,67.935,38.95,15.567,72.608,28.3236530403178,70.121
0.528,8.123,122.632,6.44,62.379,58.731,70.921,40.573,69.066,46.3517799388266,83.7
0.538,8.322,121.434,7.089,62.707,59.634,70.19,41.418,69.713,46.2043081682324,83.367
0.546,11.76,123.043,6.834,63.708,60.175,70.92,43.297,70.308,46.1977773058682,83.13
0.557,8.44,125.98,6.423,64.686,60.789,69.98,44.752,70.889,45.9269370844154,83.347
0.567,8.684,124.243,5.876,63.844,61.355,69.76,42.995,71.283,45.77550921226,83.239
0.576,8.377,123.415,6.478,62.355,62.207,66.42,41.768,71.893,46.0768690042437,81.425
0.586,9.531,119.688,5.326,62.125,63.149,64.57,41.75,72.559,45.2918836848796,80.949
0.595,7.938,118.018,5.779,64.655,63.916,67.05,45.463,72.929,45.212886381919,81.434
0.6,8.877,113.604,4.861,64.381,64.832,65.66,45.593,73.803,45.2519504596133,80.362
0.609,9.058,107.896,3.743,63.928,65.35,64.061,45.342,74.248,45.3899188550502,79.545
0.612,8.107,100.786,5.218,63.479,65.159,62.43,45.11,73.903,45.8107199545306,78.712
0.621,8.019,92.917,3.465,63.023,65.628,60.77,44.893,74.708,46.3927844430033,77.852
0.627,9.191,86.67,3.497,64.845,65.468,64.43,46.24,74.682,45.0926492430023,79.527
0.633,8.76,82.695,3.826,63.397,65.574,62.65,44.481,74.968,45.3356568771393,78.463
0.64,8.852,80.265,4.79,63.936,65.642,63.016,45.22,75.083,46.4317513363847,78.56
0.645,8.411,77.46,3.882,64.437,65.965,63.38,45.934,75.401,44.6022935278456,78.599
0.651,8.251,76.217,3.708,64.936,66.332,64.05,46.113,75.677,45.1609771577578,79.455
0.651,7.437,73.788,3.619,64.408,66.705,61.87,46.057,75.92,45.1521912761189,78.422
0.651,9.009,72.071,4.919,63.84,66.957,59.642,45.984,75.961,45.5122918457948,77.336
0.657,5.41,70.912,4.152,63.247,67.245,57.373,45.903,76.213,46.0624607976043,76.21
0.657,4.921,70.951,3.411,62.835,67.289,57.373,45.447,76.189,45.6814867711215,76.018
0.661,4.225,70.643,3.296,63.396,67.26,57.355,46.361,76.163,45.1882994745603,76.269
0.664,3.955,70.62,3.326,63.869,67.146,56.136,47.318,76.158,45.928080726554,75.83
0.663,4.877,70.115,3.132,62.729,66.993,55.727,45.976,76.267,42.5880636881139,74.944
0.663,4.371,70.359,3.471,61.931,66.834,55.009,45.004,76.572,44.1914646175812,74.526
0.664,4.826,65.213,3.847,62.645,66.762,55.482,45.712,77.075,44.7417834210906,74.9
0.667,4.657,61.531,4.006,62.57,66.908,56.173,45.037,77.494,44.0160655462201,75.069
0.673,4.191,58.197,3.751,62.299,67.352,54.845,44.786,77.488,43.2376186646423,74.716
0.676,4.022,57.808,4.382,63.726,68.009,56.973,45.825,76.776,43.6288106463739,75.97
0.666,4.723,56.83,5.423,60.402,66.432,53.308,43.202,75.413,45.134911743276,72.166
0.669,4.026,55.89,4.767,63.031,66.078,56.145,45.076,75.149,43.5874662662562,75.314
0.511,7.536,178.464,8.861,58.37,51.596,35.651,50.371,54.936,88.9696384242982,63.341
0.524,7.522,177.675,9.16,58.259,52.072,35.104,50.424,55.27,88.1120309644124,63.017
0.539,7.566,176.326,9.291,58.145,52.509,34.546,50.479,55.731,87.3417591766864,62.684
0.545,7.54,176.117,9.407,58.049,53.04,34.1,50.519,56.188,86.5882582597238,62.411
0.556,7.44,177.202,9.326,57.978,53.502,33.773,50.54,56.638,85.5230839103152,62.209
0.57,7.367,177.692,9.341,57.927,53.919,33.517,50.551,57.078,84.6721759202156,62.056
0.587,7.272,175.803,9.262,57.842,54.479,33.013,50.609,57.683,84.0327002808613,61.781
0.599,7.214,175.232,9.216,57.763,54.95,32.482,50.677,58.205,83.5685371854909,61.503
0.606,7.177,174.103,9.194,57.705,55.455,32.022,50.735,58.772,83.0452830188679,61.274
0.613,7.286,173.074,9.45,57.663,55.84,31.615,50.785,59.101,83.1437427912341,61.079
0.609,7.416,171.755,9.704,57.621,56.261,31.205,50.839,59.583,83.2642533499769,60.882
0.618,7.367,170.478,9.647,57.563,56.746,30.893,50.873,60.172,83.3785774202284,60.716
0.628,7.236,168.734,9.47,57.454,57.194,30.477,50.927,60.647,83.5475936913637,60.468
0.633,7.194,167.097,9.314,57.354,57.585,30.08,50.984,60.986,84.0313195015691,60.225
0.639,7.224,163.445,9.226,57.275,57.896,29.729,51.036,61.452,84.3777514292758,60.007
0.648,7.374,161.13,9.295,57.21,58.343,29.38,51.093,62.054,85.0748638838476,59.787
0.65,7.471,158.434,9.341,57.197,58.813,29.245,51.108,62.332,85.6520688481014,59.689
0.65,7.593,156.047,9.356,57.165,59.046,28.967,51.158,62.832,85.8860695538407,59.511
0.652,7.531,152.601,9.231,57.133,59.556,28.684,51.213,63.042,86.1804420037228,59.332
0.653,7.599,148.872,9.335,57.099,59.984,28.417,51.267,63.54,86.5412294375744,59.165
0.65,8.296,143.936,10.056,54.385,58.812,26.504,48.722,62.943,86.6198376388311,56.447
0.647,8.348,139.706,10.329,54.98,58.781,27.032,49.661,62.726,86.5361738942359,56.77
0.466,5.135,82.963,6.791,78.953,58.783,67.927,71.569,62.375,84.3559366830007,83.197
0.466,5.133,81.005,6.812,79.01,59.907,68.029,71.545,63.272,83.9355035565816,83.299
0.465,5.143,78.804,6.839,79.084,60.398,68.228,71.528,63.784,83.6309409677071,83.398
0.45,5.091,77.17,6.796,79.201,60.906,68.549,71.496,64.188,82.7100827542341,83.73
0.455,5.127,75.818,6.948,79.351,61.529,69.012,71.532,65.081,82.7694549952871,83.933
0.458,5.189,74.322,7.111,79.51,61.976,69.569,71.546,65.547,82.4250744864104,84.178
0.473,5.117,73.038,7.023,79.828,62.427,70.854,71.615,66.33,82.61382512836,84.647
0.476,5.007,72.016,6.87,80.077,62.965,71.975,71.617,66.658,82.3708295880324,85.091
0.472,5.004,71.129,6.776,80.294,63.181,72.955,71.563,66.896,81.3824910019022,85.649
0.49,5.069,70.997,6.749,80.508,63.556,73.818,71.663,67.588,82.1581996669957,85.679
0.473,5.231,70.691,6.851,80.641,64.022,74.557,71.513,67.981,80.8887342023902,86.272
0.477,5.302,69.786,6.88,80.494,64.213,74.156,71.434,68.3,81.1335072539256,85.959
0.472,5.377,68.296,6.861,80.379,64.552,73.971,71.286,68.53,80.2447920215934,85.956
0.482,5.263,66.639,6.686,80.282,64.947,73.788,71.248,69.115,80.7869545181849,85.679
0.487,5.255,65.921,6.701,80.113,65.216,73.341,71.161,69.309,80.6825525498288,85.389
0.49,5.764,64.78,7.233,79.135,64.862,72.345,70.218,69.337,80.5048819806692,84.435
0.49,5.738,64.356,7.385,79.189,64.35,71.966,70.435,68.655,80.2859170277317,84.47
0.736,1.418,53.048,1.528,77.418,64.3,60.15,58.199,74.7,3.12511511643205,76.94
0.726,3.877,49.861,3.457,75.218,63.4,61.26,55.753,74.6,4.00527695521949,75.324
0.718,6.455,43.736,6.635,73.826,62.3,59.25,54.707,73.8,5.12252887714967,73.319
0.72,7.228,40.23,7.928,74.069,60.5,62.11,54.663,72.8,4.47640115693145,73.183
0.733,10.387,37.557,8.857,72.962,61.3,58.32,53.706,74.1,3.94092022869589,71.677
0.749,10.552,34.911,9.231,72.345,64.1,54.81,53.511,75.4,4.13759084481568,70.526
0.764,11.104,30.702,9.505,71.608,64.2,47.75,53.831,75.7,4.16121072544827,69.231
0.772,10.429,27.14,8.531,71.733,63.7,46.59,52.533,75.3,3.3791726219895,68.914
0.781,12.93,26.11,10.125,69.877,64.6,42.7,51.774,75.8,3.34542578615271,67.011
0.798,15.021,26.095,11.611,69.806,65.1,43.16,52.265,76.0,2.79867111470269,65.855
0.807,13.033,24.47,13.232,69.016,64.6,38.83,51.731,76.2,2.58889659711476,65.07
0.818,11.313,23.131,8.683,68.125,65.1,37.24,50.952,77.0,2.44546462797828,63.941
0.826,12.143,22.042,10.383,70.024,66.0,47.22,52.008,76.9,2.36304974679161,66.026
0.836,11.63,22.436,8.83,70.094,66.3,46.58,52.978,77.8,2.47238017065049,65.042
0.848,9.146,22.504,6.907,70.046,67.3,40.6,53.329,78.1,2.50239405693503,64.0
0.856,6.224,23.587,5.585,72.571,67.35,40.56,54.51,78.3,2.4944930828128,67.215
0.859,5.377,25.84,3.758,72.969,67.4,43.46,53.899,78.5,2.65288565758457,67.981
0.861,5.752,25.163,5.133,74.072,68.6,44.31,54.763,79.2,2.69362050350199,68.487
0.859,16.669,22.74,10.303,73.93,69.8,43.68,54.689,80.1,2.89111650180198,67.708
0.864,19.268,19.482,14.098,73.765,70.6,40.99,55.04,80.5,2.92609007814873,66.752
0.873,13.059,17.428,11.579,74.711,71.4,43.44,55.585,81.3,3.08131202961053,67.874
0.876,10.907,16.332,9.097,74.769,71.4,44.27,55.312,81.5,3.34727346195922,68.163
0.881,9.085,16.371,8.155,75.117,72.8,41.28,55.275,81.7,3.44651468869398,68.207
0.879,7.857,15.38,6.808,75.201,72.4,41.12,54.474,81.9,3.49444312765005,68.662
0.883,6.244,12.848,6.133,76.548,73.2,45.72,55.791,82.2,3.57232011982411,69.229
0.884,7.413,10.899,6.064,77.282,73.3,46.1,56.178,82.2,3.72598640755066,70.206
0.886,6.19,9.813,5.3,78.699,73.8,49.7,56.924,82.6,3.83038132033219,71.115
0.89,5.413,9.404,5.323,78.947,74.0,49.56,57.264,82.7,4.01047670238646,71.054
0.893,4.076,8.687,4.847,78.715,74.5,46.26,57.455,83.0,4.04871149348428,70.308
0.891,6.969,8.829,6.619,79.067,74.4,44.72,57.369,83.0,4.16312659303313,70.287
0.89,6.784,8.764,5.545,78.876,72.4,40.54,57.821,81.3,4.49676218278978,69.421
0.543,19.101,130.506,21.764,56.029,60.355,43.632,44.663,64.868,29.6462802373346,66.313
0.537,19.583,129.741,22.29,55.842,59.188,42.774,44.723,64.157,29.5947735306027,65.849
0.529,20.532,125.812,23.321,55.679,57.475,41.971,44.791,62.896,29.4625565744,65.422
0.52,20.501,121.794,23.287,55.53,55.316,40.976,44.91,61.151,29.5053174868275,64.923
0.515,20.414,117.387,23.191,55.321,53.065,39.695,45.065,59.149,29.386045406946,64.252
0.506,20.123,113.645,24.496,55.132,50.959,38.812,45.156,56.704,29.6174247658733,63.76
0.496,19.822,107.693,25.769,54.876,49.167,37.504,45.31,54.843,29.6743669991731,63.08
0.485,20.519,105.717,26.514,54.581,47.46,35.936,45.499,53.136,30.1710970096466,62.266
0.477,21.155,108.105,27.175,54.29,46.188,34.403,45.681,51.193,30.7625031414928,61.43
0.465,21.824,107.487,27.867,54.02,45.1,32.989,45.854,49.317,31.2664281902805,60.647
0.456,22.518,106.037,28.582,53.828,43.747,31.981,45.979,48.132,31.7474082157612,60.084
0.444,23.039,102.669,29.078,53.704,42.298,31.287,46.071,46.616,32.3138234023143,59.681
0.438,23.518,101.01,29.518,53.615,41.65,30.756,46.141,44.972,32.996661735139,59.371
0.436,23.967,99.449,29.914,53.532,41.054,30.248,46.207,43.95,33.4439942981469,59.074
0.439,24.473,97.517,30.374,53.45,40.825,29.726,46.278,43.356,34.0851198334046,58.756
0.454,24.945,93.497,30.786,53.371,41.531,29.202,46.353,44.666,34.7377345276273,58.436
0.464,25.503,91.206,31.292,53.299,42.083,28.723,46.423,45.163,35.3136399791547,58.149
0.473,25.298,88.081,30.839,53.233,42.602,28.283,46.475,45.72,35.9374859899397,57.881
0.481,25.037,85.731,30.325,53.189,43.549,27.91,46.508,45.659,36.4599225701763,57.633
0.498,24.515,83.316,29.514,53.169,44.923,27.587,46.537,48.306,37.251014984548,57.409
0.514,23.853,82.797,28.551,53.154,46.242,27.255,46.569,50.181,37.8653878798166,57.189
0.53,23.039,81.664,27.426,53.125,47.703,26.818,46.625,52.02,38.4142343792791,56.888
0.546,22.46,81.506,26.578,53.088,49.075,26.335,46.69,53.985,39.1017656971207,56.564
0.56,21.96,79.13,25.827,53.067,50.315,25.915,46.744,55.917,39.629514246687,56.292
0.577,21.56,77.114,25.195,53.082,52.062,25.624,46.778,58.128,40.1581288090924,56.099
0.59,21.121,75.721,24.526,52.986,53.469,24.838,46.906,60.031,40.6791630206174,55.584
0.601,21.053,74.418,24.45,52.948,54.47,24.318,46.989,61.543,40.7552428485955,55.238
0.613,21.04,73.158,24.436,52.936,55.882,23.921,47.053,63.169,40.6729223522375,54.97
0.623,20.942,71.813,24.327,52.903,56.975,23.447,47.135,64.353,40.3612639082186,54.648
0.622,23.234,70.784,26.501,52.445,56.026,23.099,46.682,63.678,40.7925109002309,54.122
0.612,22.788,69.934,26.132,52.609,53.366,22.863,47.209,61.248,40.7269140853302,53.88
0.286,2.529,143.402,4.686,81.244,49.885,80.043,71.084,51.198,91.9364089816997,89.597
0.299,2.256,149.561,4.191,81.655,50.448,80.088,71.791,51.644,92.2684229719889,89.589
0.305,2.209,145.425,4.06,82.055,50.731,80.131,72.489,52.317,92.4107070000539,89.584
0.31,2.223,134.636,4.023,82.45,51.649,80.172,73.177,53.436,92.4049907641724,89.583
0.323,2.052,135.105,3.694,82.84,52.247,80.211,73.855,54.249,92.7581627636045,89.585
0.343,1.834,134.355,3.293,83.225,52.728,80.246,74.525,55.338,92.9790785277767,89.591
0.359,1.686,125.829,3.052,83.165,53.822,80.067,74.481,56.528,92.775398886741,89.432
0.376,1.694,119.708,3.057,83.105,54.863,79.889,74.439,58.062,92.5608891878574,89.273
0.391,1.692,113.013,3.047,83.045,55.854,79.71,74.4,59.416,92.2806912227472,89.113
0.399,1.7,102.642,3.052,82.988,56.765,79.53,74.362,60.962,91.9159356453236,88.953
0.409,1.677,100.744,3.007,82.935,57.72,79.348,74.326,61.849,91.7599265664689,88.792
0.419,1.661,99.336,2.974,82.884,58.675,79.164,74.29,62.874,91.5240123562132,88.629
0.426,1.65,89.327,2.949,82.834,59.397,78.979,74.256,63.804,91.0683154039865,88.464
0.437,1.657,80.918,2.952,82.783,59.995,78.789,74.223,64.895,90.7705277645916,88.299
0.445,1.713,79.701,3.093,82.685,60.578,77.855,74.282,65.361,90.3486294384272,87.963
0.455,1.742,76.59,3.19,82.588,61.126,76.907,74.343,66.326,89.9626395806919,87.626
0.465,1.802,74.23,3.335,82.514,61.628,76.125,74.395,67.341,89.5358534114396,87.351
0.472,1.857,71.878,3.473,82.437,62.288,75.303,74.45,67.533,89.2261676514313,87.064
0.479,1.946,71.267,3.668,82.352,62.606,74.453,74.507,68.397,88.8091099159551,86.776
0.485,2.009,71.691,3.818,82.28,63.051,73.64,74.563,68.795,88.4655101002943,86.498
0.489,2.871,70.643,5.096,81.505,62.517,72.926,73.856,68.426,88.2423519975136,85.678
0.489,2.863,69.221,5.149,82.069,61.91,72.831,74.608,68.285,87.5460244693882,86.033
0.633,4.042,62.234,5.917,61.014,63.349,59.114,39.632,68.316,42.1951576741513,79.868
0.639,4.062,58.734,5.945,60.852,63.583,58.494,39.543,68.41,42.0144191896506,79.648
0.643,4.106,56.339,6.008,60.826,63.715,58.373,39.526,68.454,41.7388102994333,79.607
0.649,4.028,53.963,5.898,60.706,63.897,57.898,39.463,68.652,41.3867174524437,79.431
0.654,4.071,52.744,5.958,60.666,64.077,57.72,39.438,68.771,41.2206944307054,79.362
0.658,4.047,50.011,5.924,60.552,64.218,57.259,39.385,68.853,40.8102766798419,79.19
0.658,4.13,46.169,6.042,60.419,64.306,56.455,38.972,68.817,40.2533965926245,79.272
0.661,4.147,43.366,6.067,60.296,64.488,55.654,38.556,69.117,39.8140140717253,79.349
0.667,4.108,45.118,6.011,60.175,64.577,54.849,38.143,69.193,39.1040676175383,79.429
0.669,4.107,43.367,6.01,60.057,64.181,54.037,37.729,68.678,39.2008967388458,79.506
0.67,4.105,42.438,6.007,59.942,64.273,53.217,37.314,68.629,38.8535694590404,79.581
0.671,4.171,40.954,6.101,59.829,63.738,52.391,36.9,67.98,38.4424921782732,79.654
0.675,4.147,42.979,6.066,59.719,64.247,51.56,36.485,68.302,38.2698355415786,79.723
0.682,4.116,44.085,6.024,59.616,64.546,50.724,36.069,68.484,37.8697009530069,79.789
0.684,3.335,42.541,5.167,58.18,64.776,49.888,34.847,68.666,37.4034468438538,78.045
0.687,3.47,42.327,5.044,59.283,65.074,49.973,36.586,68.797,39.5321432397425,78.441
0.689,3.676,41.574,5.018,60.377,65.084,50.053,38.345,68.727,41.4824328043299,78.8
0.693,3.827,40.989,4.915,61.452,65.16,50.145,40.138,68.885,44.1139541931853,79.155
0.696,4.02,41.156,4.862,62.506,65.298,50.248,41.958,69.046,46.5587077730404,79.508
0.699,4.143,40.87,4.726,63.55,65.536,50.343,43.788,69.271,48.866349840939,79.83
0.704,4.292,40.618,4.622,64.586,65.678,50.428,45.621,69.521,51.4379974553955,80.123
0.707,4.153,41.139,4.788,63.546,65.809,49.362,44.205,69.412,48.5939658968402,78.841
0.712,4.03,41.737,4.965,62.475,65.609,48.301,42.801,69.38,45.5148671751196,77.509
0.715,3.897,36.262,5.129,61.366,65.536,47.245,41.415,69.347,42.8841223791117,76.131
0.716,3.773,30.936,5.3,60.66,64.915,49.388,39.885,68.932,37.1492023356013,76.397
0.721,3.708,28.788,5.552,59.936,65.446,51.538,38.376,69.137,31.9519327818083,76.643
0.728,3.711,28.059,5.556,59.878,66.008,51.004,38.407,69.656,31.1499459515108,76.453
0.731,3.718,27.474,5.566,59.877,66.031,50.658,38.439,69.664,30.0305476389576,76.34
0.73,3.75,27.206,5.612,59.99,66.126,50.805,38.453,69.728,28.7209460377871,76.438
0.722,4.117,27.103,5.956,58.09,66.166,47.923,37.159,69.743,28.7087334408074,74.015
0.715,4.146,26.843,6.084,58.016,65.426,48.188,37.068,68.877,28.0554103502352,73.779
0.815,7.813,11.478,5.025,75.667,71.33,61.09,57.396,79.32,8.96703128345923,69.969
0.821,13.332,10.852,9.651,74.202,71.67,56.58,56.191,79.43,8.98573006093911,68.493
0.826,17.779,10.038,14.42,73.399,72.11,54.63,55.458,79.48,8.92307265926351,67.601
0.838,17.806,9.81,14.875,72.67,72.82,51.24,54.722,80.15,8.76423995644899,66.775
0.844,17.768,9.919,16.149,71.907,72.79,51.11,54.631,80.21,8.64692022203051,65.194
0.852,15.584,10.994,15.554,71.486,73.03,49.27,54.551,80.54,9.39483882021538,64.272
0.86,14.781,9.211,15.181,72.721,73.42,52.22,54.855,80.51,7.47117641563996,65.746
0.868,12.878,9.099,13.578,72.911,73.52,52.12,55.054,80.84,6.85219598598082,65.65
0.877,11.003,9.331,12.443,73.86,73.74,51.947,56.112,81.02,7.25720921772467,65.927
0.887,10.349,9.699,11.989,74.053,74.1,51.774,56.147,81.0,6.60965185852565,66.136
0.897,9.86,10.455,10.76,74.591,74.6,51.602,56.656,81.5,6.67961622967892,66.208
0.901,10.655,11.112,10.165,74.768,74.9,51.429,56.931,81.5,6.8707442567145,65.948
0.905,10.957,10.624,9.938,74.64,75.1,51.256,56.617,81.8,6.30140459723442,65.852
0.901,10.163,10.495,10.574,74.396,75.3,51.083,56.367,82.3,6.03010722730617,65.099
0.904,8.168,9.921,8.608,74.568,75.5,50.91,56.791,82.3,6.50488017008117,64.901
0.909,7.383,9.133,8.083,75.063,75.8,52.59,57.068,82.8,6.28562453837729,65.133
0.911,6.537,8.735,7.186,75.42,75.8,53.26,57.374,82.9,6.06454616497348,65.251
0.913,6.072,8.491,6.693,75.825,76.3,53.44,57.374,83.0,6.63103151754108,65.738
0.908,8.889,8.32,7.569,74.826,76.5,49.71,56.943,83.1,7.10100790913104,64.122
0.912,9.085,8.295,7.636,74.383,76.7,49.42,55.937,83.2,6.8605380047586,63.963
0.916,8.406,7.806,7.097,74.806,77.3,50.52,55.784,83.8,6.58052133584893,64.141
