SL_EMP_VULN_FE_ZS,SL_EMP_VULN_MA_ZS,SL_TLF_ACTI_1524_FE_ZS,SL_TLF_ACTI_1524_MA_ZS,SL_TLF_ACTI_1524_ZS,SL_TLF_ACTI_FE_ZS,SL_TLF_ACTI_MA_ZS,SL_TLF_ACTI_ZS,SL_TLF_CACT_FE_ZS,SL_TLF_CACT_MA_ZS,SL_UEM_TOTL_FE_ZS,SL_UEM_TOTL_MA_ZS,SP_ADO_TFRT,SP_DYN_LE00_FE_IN,SP_DYN_LE00_MA_IN,desenv
66.2422573984859,61.2737799834574,47.972,58.254,52.959,56.325,78.647,67.498,50.76,72.681,12.913,14.655,21.756,77.746,71.669,1
65.8033559512622,61.1722186130215,48.941,59.011,53.796,57.271,79.745,68.47,51.553,73.524,15.727,17.702,20.149,77.316,70.773,1
65.374749291992,60.8806908553358,48.132,58.471,53.1,56.738,79.426,67.997,50.943,72.897,19.776,20.243,18.001,78.021,72.19,1
64.4937412890262,60.1947726825554,46.919,57.596,52.044,55.996,78.874,67.313,50.132,72.032,20.394,21.162,16.098,78.209,72.401,1
63.5193727037015,59.4345897654947,46.156,57.047,51.395,55.671,78.707,67.038,49.701,71.559,18.54,19.38,14.792,78.419,72.646,1
62.4975886922821,58.4568574707022,45.198,56.309,50.57,55.3,78.457,66.711,49.201,70.994,18.948,18.306,9.697,78.618,72.921,1
61.4483451226967,57.5815110645542,44.633,55.881,50.115,55.221,78.481,66.68,48.945,70.697,18.277,17.621,13.217,78.823,73.22,1
60.2583606557377,56.7019318576546,41.832,52.689,47.174,54.76,77.139,65.791,48.332,69.168,17.396,16.695,15.231,79.057,73.499,1
59.2196955904707,55.7200957774605,39.079,49.478,44.247,54.315,75.743,64.889,47.726,67.608,16.702,16.023,19.046,79.237,73.786,1
59.5753245001183,55.0557281788467,36.403,46.272,41.354,53.875,74.284,63.963,47.131,66.019,16.419,15.639,18.869,79.493,74.033,1
58.2081438689281,54.363561196165,33.823,43.097,38.514,53.433,72.767,63.005,46.548,64.408,16.082,15.294,17.503,79.686,74.243,1
57.036139622036,53.2775690213717,31.352,39.984,35.746,52.991,71.207,62.024,45.978,62.777,16.398,15.649,17.309,80.247,75.1,1
66.4648556785894,52.4022488927037,29.002,36.951,33.067,52.551,69.61,61.024,45.421,61.128,13.743,12.541,18.545,80.429,75.163,1
65.3635309964603,50.8812462559904,30.047,38.986,34.632,53.28,73.701,63.439,45.847,64.303,15.706,12.191,18.987,80.544,75.316,1
62.5436575189594,49.8156235448105,27.637,39.271,33.611,54.496,73.27,63.848,46.735,63.799,15.877,12.76,19.65,80.688,75.493,1
